taxonID,number,distribution,conservation_status
b081b361554c,001.1004,"Azores (Sao Miguel Isl., Terceira, Pico, Faial); Madeira (Madeira Isl.); Cape Verde Isl. (Fogo Isl.); Senegal; Gambia; Guinea-Bissau; Guinea; Sierra Leone; Liberia; Ivory Coast; Mali; Ghana; Togo; Benin; Nigeria; Cameroon; Bioko Isl. [Fernando Poo]; Annobon Isl.; Principe Isl.; S&atilde;o Tom&eacute;; Equatorial Guinea (Rio Muni); Gabon; Congo [Brazzaville]; Central African Republic; D.R.Congo [Zaire]; Sudan; Ethiopia; Uganda; Rwanda; Burundi; Kenya; Tanzania; Pemba Isl.; Zanzibar; Angola; Zambia; Malawi; Mozambique; Zimbabwe; South Africa (Limpopo, Mpulamanga, E-North West, Gauteng, KwaZulu-Natal, W-Cape Prov., E-Cape Prov.); Eswatini [Swaziland]; Lesotho; Comores (Mayotte etc.); Madagascar; Mauritius; La R&eacute;union; Rodrigues; Ascension Isl.; St. Helena; Seychelles; China (Chongqing, Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hunan, Jiangxi, Sichuan, Yunnan, Zhejiang); Taiwan; Tibet; Japan; Ryukyu Isl.; peninsular Malaysia (widespread); Singapore; Sumatra; Borneo (Sabah, Sarawak, Mt. Kinabalu, etc.); Java; Philippines; Palawan; India (Andhra Pradesh, Arunachal Pradesh, Assam State, Bihar, Chhattisgarh, Goa, Jharkand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Odisha, Sikkim, Tamil Nadu, Tripura, Uttarakhand, West Bengal); Bhutan; Nepal; Myanmar; Bangladesh; Thailand; Vietnam; Laos; Sri Lanka; Andaman Isl.; Nicobar Isl.; New Guinea (Irian Jaya, Papua New Guinea, d'Entrecasteaux Arch.: Fergusson Isl., Normanby Isl., Louisiade Arch.: Misima Isl., Sudest Isl., Rossel Isl.); Bismarck Arch. (Admiralty Isl., New Hanover); Moluccas (Seram); Lesser Sunda Isl. (Lombok); Sulawesi; Solomon Isl. (Bougainville, Choiseul, Gizo, Guadalcanal, Santa Ysabel, Kolombangara, Makira, Rendova, Vangunu, Malaita, New Georgia, Nggatokae); Australia (N-Western Australia, Northern Territory, Queensland, New South Wales); New Zealand (North Isl., South Isl.); Kermadec Isl.; Tonga ('Eua, Tongatapu, Late Isl., Kao, Vava'u); Austral Isl. (Rapa Iti, Rurutu, Tubuai); Marquesas Isl. (Nuku Hiva, Ua Huka, Ua Pou, Hiva Oa, Tahuata, Fatu Hiva); Society Isl. (Tahiti, Moorea); [Western] Samoa (Upolu); American Samoa (Tutuila, Ta'u); Northern Marianas (Saipan, Rota Isl.); Guam; Northern Marianas (Pagan, Alamagan); Fiji (Viti Levu, Ovalau); Rotuma Isl.; Palau (Babeldaob, Koror, Ngarakabesang, Ulebsechel, Peleliu); Fed. States of Micronesia (Yap, Truk, Moen, Dublon, Fefan, Pohnpei, Kosrae); Wallis &amp; Futuna (Futuna Isl.); Norfolk Isl.; Hawaii (Kauai, Oahu, Molokai, Lanai, Maui, Hawaii Isl.); New Caledonia; Cook Isl. (Rarotonga, Mangaia, Atiu, Mauke); Bonin Isl. (Chichijima, Hahajima); Volcano Isl. (Kita-Iwojima); Vanuatu; Santa Cruz Isl. (Vanikoro); Costa Rica; Galapagos; Cuba; Hispaniola; Jamaica; Puerto Rico; Nicaragua; Mexico (Chiapas, Colima, Guerrero, Hidalgo, Jalisco, Mexico State, Michoacan, Nayarit, Oaxaca, Puebla, Tabasco, Veracruz); Belize; Guatemala; Honduras; El Salvador; Panama; Colombia (Amazonas, Antioquia, Arauca, Boyac&aacute;, Caldas, Caquet&aacute;, Cauca, Cesar, Choc&oacute;, Cundinamarca, Guain&iacute;a, Huila, La Guajira, Magdalena, Meta, Nari&ntilde;o, Norte de Santander, Quind&iacute;o, Risaralda, San Andr&eacute;s, Providencia y Santa Catalina, Santander, Tolima, Valle, Vaup&eacute;); Ecuador; Peru; Bolivia (Beni, Chuquisaca, Cochabamba, La Paz, Pando, Santa Cruz); Brazil (Acre, Alagoas, Amazonas, Amap&aacute;, Bahia, Cear&aacute;, Brasilia Distrito Federal, Esp&iacute;rito Santo, Goi&aacute;s, Maranh&atilde;o, Minas Gerais, Mato Grosso do Sul, Mato Grosso, Par&aacute;, Para&iacute;ba, Pernambuco, Paran&aacute;, Piau&iacute;, Rio de Janeiro, Rond&ocirc;nia, Roraima, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo, Tocantins); Argentina (Corrientes, Entre Rios, Misiones); Paraguay (Caazapa, Canindeyu, Cordillera, Guaira); Uruguay (Canelones, Cerro Largo, Rivera, Tacuarembo); Trinidad; Tobago; St. Kitts; Montserrat; Guadeloupe; Dominica; Martinique; St. Lucia; St. Vincent; Grenada; Barbados; Nevis; Venezuela (Amazonas, Apure, Aragua, Barinas, Bol&iacute;var, Cojedes, Venezuela Distrito Federal, Falcon, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Zulia); Guyana; Surinam; French Guiana; Virgin Isl. (St. John, St. Thomas, Tortola); USA (S-Alabama, SW-Arkansas, Florida, S-Georgia, Louisiana, S-Mississippi, ?South Carolina, E-Texas); Sicily [I]; +Lebanon [I]; +Syria [I]",NA
1a342d00d9ec,001.1004,Panama,NA
652b58987b70,001.1004,India,NA
3ac67e804b53,001.1004,Cuba; Puerto Rico; Jamaica; Venezuela; Ecuador; Peru; Costa Rica,NA
3a42f22f80df,001.1004,Ecuador; Peru,NA
00d60eb674b7,001.1004,Panama; Costa Rica,NA
0769cf7bfcca,001.1004,"Brazil (Minas Gerais, Rio de Janeiro)",NA
52d56f178fb2,001.1004,"Bolivia (Cochabamba); Costa Rica; Panama; Colombia (Antioquia, Boyac&aacute;, Cauca, Putumayo); Venezuela (Merida); Ecuador; Peru",NA
e2a04e97c4bb,001.1004,China (Hainan); ?Vietnam,NA
976a6a77d5b2,001.1004,"New Guinea (Irian Jaya, Papua New Guinea)",NA
